# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0 4.86307e-06 4.21154e-06
           4    0.884913  0.00115549  0.00121968 9.27312e-05
           4    0.910562    0.024286   0.0243379 0.000349627
           4    0.936212    0.162584    0.163953  0.00105506
           4    0.961861    0.553245    0.559032  0.00227625
           4    0.987511     1.19396     1.19468  0.00177805
           4     1.01316      1.8657     1.85947  0.00830478
           4     1.03881     2.31317     2.32705  0.00603725
           4     1.06446     2.54312      2.5475  0.00299244
           4     1.09011     2.54611     2.54153  0.00268241
           4     1.11576     2.40154     2.40216  0.00465484
           4     1.14141     2.20258     2.20325  0.00445859
           4     1.16706     1.97832     1.97505  0.00458344
           4     1.19271     1.76546     1.76304  0.00546354
           4     1.21836      1.5695     1.56882  0.00580451
           4     1.24401     1.40616     1.39861  0.00299647
           4     1.26966     1.24408     1.25146  0.00474536
           4     1.29531     1.11337     1.12771  0.00470444
           4     1.32096      1.0334     1.02919  0.00322105
           4     1.34661    0.946906    0.947179 0.000828634
           4     1.37226    0.879751    0.875814  0.00140011
           4     1.39791    0.815115    0.817223  0.00112215
           4     1.42355    0.781804    0.778735  0.00255834
           4      1.4492    0.739364     0.73895  0.00300783
           4     1.47485    0.716017    0.710835  0.00206412
           4      1.5005    0.696296    0.689754  0.00333679
           4     1.52615    0.680495     0.67706  0.00289737
           4      1.5518    0.672757    0.669789  0.00196371
           4     1.57745    0.671721    0.669256   0.0025565
           4      1.6031    0.677191    0.674615  0.00107744
           4     1.62875    0.686778    0.684898 0.000713023
           4      1.6544    0.701836    0.697311  0.00152215
           4     1.68005    0.722042     0.71881  0.00200437
           4      1.7057    0.744042    0.747176   0.0020972
           4     1.73135    0.773186    0.776802  0.00188872
           4       1.757    0.804705    0.812365  0.00222153
           4     1.78265    0.842868    0.847947  0.00217664
           4      1.8083    0.884148    0.890079  0.00255583
           4     1.83395    0.929352    0.934633  0.00221165
           4      1.8596    0.963702    0.972988  0.00296469
           4     1.88525     1.01427     1.01732  0.00290592
           4      1.9109     1.05128      1.0563   0.0018657
           4     1.93655     1.09606     1.09417   0.0029002
           4      1.9622     1.13186     1.13032  0.00264887
           4     1.98785     1.16198     1.16077  0.00272498
           4      2.0135     1.18389     1.18326  0.00153799
           4     2.03915     1.20444     1.20594   0.0031255
           4      2.0648     1.22072     1.21724  0.00160391
           4     2.09045     1.22128     1.21819  0.00155466
           4      2.1161     1.21548     1.21184  0.00193389
           4     2.14174      1.2002     1.19732  0.00154684
           4     2.16739     1.17479     1.17903  0.00237854
           4     2.19304      1.1521     1.15267  0.00016717
           4     2.21869     1.12665      1.1283  0.00136768
           4     2.24434     1.09396     1.09868  0.00212618
           4     2.26999     1.06688     1.06683  0.00155549
           4     2.29564     1.04259      1.0401  0.00273741
           4     2.32129     1.01574     1.01366  0.00209113
           4     2.34694    0.990436    0.991136  0.00383918
           4     2.37259    0.972364    0.969348  0.00324649
           4     2.39824    0.951554    0.948298  0.00202329
           4     2.42389      0.9344    0.932949    0.001596
           4     2.44954    0.919726     0.91732  0.00178315
           4     2.47519    0.912884    0.908335  0.00178161
           4     2.50084    0.897242    0.894446 0.000902872
           4     2.52649    0.884371    0.885847 0.000813356
           4     2.55214      0.8919    0.885346  0.00195956

           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263           0 3.89046e-06 3.47973e-06
           5    0.884913  0.00113714  0.00120317 7.56398e-05
           5    0.910562   0.0251174   0.0244938 0.000312533
           5    0.936212    0.162535    0.163669 0.000881311
           5    0.961861    0.567683    0.560762  0.00238973
           5    0.987511     1.20255     1.19625  0.00200114
           5     1.01316      1.8718     1.86193  0.00700059
           5     1.03881     2.33859     2.32936  0.00525266
           5     1.06446     2.56042     2.55009  0.00332754
           5     1.09011      2.5413     2.54148  0.00214632
           5     1.11576     2.39625     2.40098  0.00387117
           5     1.14141      2.1996     2.20252   0.0036262
           5     1.16706     1.97142     1.97432  0.00372365
           5     1.19271     1.75925     1.76228    0.004423
           5     1.21836     1.56092     1.56724  0.00485378
           5     1.24401     1.39152     1.39719  0.00271246
           5     1.26966     1.23701     1.24857  0.00459293
           5     1.29531     1.11425     1.12502  0.00446737
           5     1.32096     1.02521     1.02839  0.00267338
           5     1.34661    0.934922    0.944728  0.00229065
           5     1.37226    0.868348    0.874321  0.00174298
           5     1.39791    0.818717    0.817522 0.000936653
           5     1.42355    0.770911     0.77717  0.00247953
           5      1.4492    0.739713    0.739103  0.00241013
           5     1.47485    0.715192    0.711707  0.00182595
           5      1.5005    0.693968    0.690597   0.0027738
           5     1.52615    0.680821    0.677812   0.0024136
           5      1.5518    0.679437    0.671719  0.00233374
           5     1.57745    0.676991    0.670803  0.00246925
           5      1.6031    0.684362    0.676564  0.00194501
           5     1.62875    0.689658     0.68585  0.00102497
           5      1.6544    0.715637    0.700976  0.00349713
           5     1.68005    0.729843    0.721016  0.00254298
           5      1.7057    0.752198     0.74818  0.00190313
           5     1.73135    0.780598    0.777561  0.00165656
           5       1.757    0.809907    0.811873   0.0018308
           5     1.78265     0.84779    0.847915  0.00174154
           5      1.8083    0.896403    0.891344  0.00233676
           5     1.83395    0.928673    0.933441  0.00206576
           5      1.8596    0.973969    0.973184  0.00237824
           5     1.88525     1.01243     1.01634  0.00248392
           5      1.9109     1.05697     1.05644   0.0014973
           5     1.93655     1.09302     1.09394  0.00232929
           5      1.9622     1.12843     1.12994  0.00214594
           5     1.98785     1.16207     1.16103  0.00219235
           5      2.0135     1.18461     1.18353  0.00125374
           5     2.03915     1.19455     1.20366  0.00322499
           5      2.0648     1.21216     1.21622  0.00157211
           5     2.09045     1.20674      1.2159  0.00239621
           5      2.1161     1.21282     1.21204  0.00155705
           5     2.14174     1.19221     1.19629  0.00153817
           5     2.16739     1.17291      1.1778  0.00219493
           5     2.19304     1.14563     1.15126    0.001266
           5     2.21869     1.12079      1.1268  0.00173247
           5     2.24434     1.09717     1.09838  0.00172222
           5     2.26999     1.06615     1.06669  0.00125021
           5     2.29564     1.03753     1.03959  0.00223799
           5     2.32129     1.01528     1.01398   0.0016979
           5     2.34694     0.98594    0.990097   0.0032089
           5     2.37259    0.965133    0.968505   0.0027044
           5     2.39824    0.954126    0.949463  0.00192538
           5     2.42389    0.934698    0.933299  0.00131456
           5     2.44954    0.922989    0.918454  0.00175019
           5     2.47519    0.913986    0.909465  0.00174734
           5     2.50084    0.900944    0.895746  0.00136855
           5     2.52649    0.892888    0.887255  0.00141756
           5     2.55214    0.892948    0.886867   0.0020752

           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
