# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           3      1.8083    0.883876    0.874681  0.00419924
           3     1.83395    0.916199    0.924133  0.00391701
           3      1.8596    0.971298    0.977286   0.0100438
           3     1.88525     1.01963     1.01646  0.00184977
           3      1.9109     1.06888     1.05829   0.0045658
           3     1.93655     1.09582     1.09256  0.00438296
           3      1.9622     1.13432     1.13098  0.00151427
           3     1.98785     1.17784     1.16031  0.00727475
           3      2.0135     1.19586     1.19317  0.00478241
           3     2.03915     1.21355     1.21722  0.00923623
           3      2.0648     1.23435     1.23372  0.00848225
           3     2.09045     1.24502     1.21794   0.0132911
           3      2.1161     1.22276     1.20977  0.00569011
           3     2.14174     1.20239     1.19116  0.00481377
           3     2.16739     1.17288     1.16931  0.00267693
           3     2.19304      1.1474     1.14779 0.000491668
           3     2.21869     1.12076     1.12385  0.00141582
           3     2.24434     1.09084     1.08245  0.00619399
           3     2.26999     1.05906     1.06435  0.00277809
           3     2.29564     1.01319     1.03375  0.00839381
           3     2.32129    0.981337    0.998622  0.00717785
           3     2.34694    0.978034    0.983201   0.0029733
           3     2.37259    0.967254    0.962867  0.00260176
           3     2.39824    0.933254    0.933103  0.00204695
           3     2.42389     0.91561    0.923207  0.00314455
           3     2.44954    0.913014    0.908802  0.00183698
           3     2.47519    0.892931    0.898793  0.00590952
           3     2.50084    0.886356    0.899954  0.00555807
           3     2.52649     0.87701    0.885542  0.00472545
           3     2.55214    0.888425    0.890486  0.00550455

           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0           0           0
           4    0.884913  0.00106378  0.00108212 0.000207404
           4    0.910562   0.0268843   0.0256501  0.00164769
           4    0.936212    0.180986    0.181072   0.0039859
           4    0.961861    0.569545    0.586432  0.00593034
           4    0.987511     1.21583     1.22153  0.00585802
           4     1.01316      1.8785     1.87858   0.0126262
           4     1.03881     2.34959     2.33995  0.00775955
           4     1.06446     2.56319     2.54562  0.00964112
           4     1.09011      2.5272     2.53266  0.00279177
           4     1.11576     2.35959     2.38923   0.0167019
           4     1.14141     2.16801     2.17844    0.014269
           4     1.16706     1.98776     1.95129    0.013505
           4     1.19271     1.75408     1.73503  0.00591598
           4     1.21836     1.56134      1.5552  0.00251977
           4     1.24401     1.37181     1.39008  0.00968116
           4     1.26966     1.24487     1.24333   0.0113542
           4     1.29531     1.11287     1.12619   0.0102518
           4     1.32096     1.02997     1.02221   0.0135473
           4     1.34661    0.946161    0.942423   0.0103696
           4     1.37226    0.884198     0.86615  0.00603615
           4     1.39791    0.823994    0.810626   0.0051233
           4     1.42355    0.787042    0.775248  0.00441431
           4      1.4492    0.760517    0.739848  0.00642575
           4     1.47485    0.699589    0.709176   0.0034121
           4      1.5005    0.681598    0.691638  0.00308881
           4     1.52615    0.682998    0.684071  0.00141957
           4      1.5518    0.670788    0.680349  0.00649405
           4     1.57745     0.67725    0.682151   0.0048514
           4      1.6031    0.672038    0.682628  0.00665803
           4     1.62875    0.694277    0.688964  0.00447046
           4      1.6544    0.683553    0.703566  0.00676795
           4     1.68005     0.72218    0.731301  0.00452169
           4      1.7057    0.753699    0.758265  0.00360602
           4     1.73135    0.791063     0.79138 0.000779573
           4       1.757    0.816849    0.822181  0.00417107
           4     1.78265      0.8571    0.848524  0.00644471
           4      1.8083    0.900945    0.881247  0.00650023
           4     1.83395    0.942249    0.928662  0.00490031
           4      1.8596    0.968304    0.975041  0.00777988
           4     1.88525     1.00978     1.01479  0.00200452
           4      1.9109     1.05564     1.05762  0.00347193
           4     1.93655     1.10032      1.0945  0.00369239
           4      1.9622     1.11812     1.12776  0.00300603
           4     1.98785     1.16198     1.16073  0.00546803
           4      2.0135     1.20146     1.19525  0.00401083
           4     2.03915     1.21703     1.21717   0.0069273
           4      2.0648     1.22232     1.23087  0.00682339
           4     2.09045     1.21589     1.21743  0.00997817
           4      2.1161     1.19698     1.20657  0.00508661
           4     2.14174     1.19128     1.19119  0.00361043
           4     2.16739      1.1618     1.16743  0.00258372
           4     2.19304      1.1352     1.14465  0.00275147
           4     2.21869       1.099     1.11764  0.00548375
           4     2.24434       1.094     1.08534  0.00527553
           4     2.26999     1.07084     1.06597  0.00251287
           4     2.29564     1.04233      1.0359  0.00656392
           4     2.32129     1.01171     1.00189  0.00608343
           4     2.34694    0.982967    0.983143  0.00223055
           4     2.37259    0.959234    0.961959  0.00210385
           4     2.39824     0.94138    0.935172  0.00235981
           4     2.42389    0.932016    0.925409  0.00303308
           4     2.44954    0.926929    0.913333  0.00415946
           4     2.47519    0.907902     0.90107   0.0048511
           4     2.50084    0.900735    0.900149  0.00417198
           4     2.52649    0.899692     0.88908  0.00468463
           4     2.55214     0.89865    0.892527  0.00449091

           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263 5.83569e-05 1.16714e-05 1.04392e-05
           5    0.884913  0.00148562  0.00116282 0.000180943
           5    0.910562   0.0290323   0.0263265  0.00145037
           5    0.936212    0.173711      0.1796  0.00344994
           5    0.961861    0.583036    0.585753    0.004783
           5    0.987511     1.20744     1.21871  0.00532163
           5     1.01316     1.89829     1.88252   0.0106985
           5     1.03881      2.4261     2.35718   0.0166152
           5     1.06446      2.6118     2.55886   0.0141291
           5     1.09011     2.53606     2.53334    0.002315
           5     1.11576     2.33931     2.37925    0.016071
           5     1.14141     2.15372      2.1735   0.0122416
           5     1.16706      1.9671     1.95446   0.0111679
           5     1.19271     1.76225     1.74047  0.00679037
           5     1.21836     1.55282     1.55472  0.00206011
           5     1.24401     1.37404     1.38688  0.00825963
           5     1.26966     1.22233     1.23913  0.00982921
           5     1.29531     1.12767     1.12648  0.00820569
           5     1.32096     1.00762     1.01929   0.0111479
           5     1.34661    0.947809      0.9435  0.00835147
           5     1.37226    0.872551     0.86743  0.00496283
           5     1.39791    0.816394     0.81178  0.00422651
           5     1.42355    0.757076    0.771614  0.00479987
           5      1.4492    0.724866    0.736851   0.0057973
           5     1.47485    0.688238    0.704989   0.0046347
           5      1.5005    0.686587    0.690628  0.00263105
           5     1.52615    0.677183    0.682694  0.00167571
           5      1.5518    0.675691    0.679418  0.00526165
           5     1.57745    0.694798     0.68468  0.00449234
           5      1.6031    0.672904    0.680683  0.00560322
           5     1.62875    0.685598    0.688291  0.00362671
           5      1.6544     0.70404    0.703661  0.00541502
           5     1.68005    0.730876    0.731216  0.00361815
           5      1.7057    0.757885    0.758189  0.00288561
           5     1.73135    0.771039    0.787312  0.00369183
           5       1.757    0.806492    0.819043  0.00436017
